DATE,IPUTIL
1980-08-01,57.9659
1980-09-01,58.7141
1980-10-01,58.2323
1980-11-01,58.4657
1980-12-01,58.7296
1981-01-01,57.8937
1981-02-01,56.4216
1981-03-01,57.3588
1981-04-01,57.3908
1981-05-01,58.2069
1981-06-01,59.654
1981-07-01,59.4899
1981-08-01,58.293
1981-09-01,57.4704
1981-10-01,58.1787
1981-11-01,57.6651
1981-12-01,58.7891
1982-01-01,58.7033
1982-02-01,57.0807
1982-03-01,57.095
1982-04-01,57.1528
1982-05-01,55.599
1982-06-01,55.7889
1982-07-01,55.7681
1982-08-01,55.0817
1982-09-01,55.2647
1982-10-01,55.4196
1982-11-01,56.1556
1982-12-01,54.4384
1983-01-01,54.3207
1983-02-01,52.9222
1983-03-01,54.8551
1983-04-01,55.8917
1983-05-01,54.8544
1983-06-01,54.6921
1983-07-01,56.573
1983-08-01,58.872
1983-09-01,58.7323
1983-10-01,57.7995
1983-11-01,58.1523
1983-12-01,60.8643
1984-01-01,60.6466
1984-02-01,59.361
1984-03-01,60.8161
1984-04-01,60.4988
1984-05-01,61.0624
1984-06-01,60.7415
1984-07-01,59.0968
1984-08-01,59.7254
1984-09-01,59.1071
1984-10-01,59.0718
1984-11-01,59.8325
1984-12-01,58.8251
1985-01-01,61.3011
1985-02-01,63.4329
1985-03-01,60.5119
1985-04-01,61.1042
1985-05-01,60.9655
1985-06-01,60.4249
1985-07-01,60.6386
1985-08-01,60.5049
1985-09-01,61.6775
1985-10-01,61.1207
1985-11-01,61.02
1985-12-01,63.9203
1986-01-01,61.8975
1986-02-01,61.3665
1986-03-01,60.5103
1986-04-01,60.8579
1986-05-01,61.5711
1986-06-01,61.9348
1986-07-01,63.0526
1986-08-01,61.5011
1986-09-01,62.095
1986-10-01,62.4936
1986-11-01,62.5286
1986-12-01,63.4052
1987-01-01,62.4935
1987-02-01,63.0977
1987-03-01,63.7663
1987-04-01,64.3884
1987-05-01,64.8527
1987-06-01,65.5884
1987-07-01,65.7052
1987-08-01,66.5763
1987-09-01,65.1664
1987-10-01,65.8092
1987-11-01,65.8382
1987-12-01,65.8419
1988-01-01,67.6415
1988-02-01,69.0483
1988-03-01,68.7828
1988-04-01,68.0365
1988-05-01,67.8047
1988-06-01,68.711
1988-07-01,69.374
1988-08-01,71.7929
1988-09-01,68.4994
1988-10-01,68.967
1988-11-01,68.6153
1988-12-01,69.0272
1989-01-01,66.7146
1989-02-01,70.0675
1989-03-01,71.9293
1989-04-01,69.9618
1989-05-01,70.2975
1989-06-01,70.1301
1989-07-01,70.4975
1989-08-01,71.4064
1989-09-01,70.4656
1989-10-01,71.3785
1989-11-01,72.0502
1989-12-01,77.2391
1990-01-01,71.4072
1990-02-01,70.5126
1990-03-01,71.4884
1990-04-01,71.983
1990-05-01,72.378
1990-06-01,73.1177
1990-07-01,72.8753
1990-08-01,73.5787
1990-09-01,74.4488
1990-10-01,73.3181
1990-11-01,71.7941
1990-12-01,72.2828
1991-01-01,73.5396
1991-02-01,71.6677
1991-03-01,72.642
1991-04-01,72.5588
1991-05-01,75.7281
1991-06-01,76.006
1991-07-01,75.4155
1991-08-01,74.8762
1991-09-01,74.7503
1991-10-01,74.6676
1991-11-01,75.3854
1991-12-01,73.3933
1992-01-01,73.0414
